Q7504756	高鳥修一	自民	現職	15	新潟県 6区	男性	1960-01-01				
Q5102671	高橋千鶴子	共産	現職		東北ブロック	女性	1959-09-16	chiduko916			
	高橋ひなこ	自民	現職		東北ブロック						
Q11545768	武井俊輔	自民	現職	45	宮崎県 1区	男性	1975-03-29				
	竹内譲	公明	現職		近畿ブロック						
Q2484652	竹下亘	自民	現職	32	島根県 2区	男性	1946-11-03				
Q7385342	武田良太	自民	現職	40	福岡県 11区	男性	1968-04-01				
Q11546586	武部新	自民	現職	1	北海道 12区	男性	1970-07-20				
Q6426239	武正公一	民進	現職		北関東ブロック	男性	1961-03-23	takemasakoichi			
Q11546026	武村展英	自民	現職	25	滋賀県 3区	男性	1972-01-21				
Q614464	竹本直一	自民	現職	27	大阪府 15区	男性	1940-11-23				
Q6088170	田島一成	民進	現職		近畿ブロック	男性	1940-01-01				重複注意
Q6088170	田島一成	民進	現職		近畿ブロック	男性	1962-06-15				重複注意
Q6360573	田嶋要	民進	現職	12	千葉県 1区	男性	1961-01-01	kanametajima			
Q11544282	橘慶一郎	自民	現職	16	富山県 3区	男性	1961-01-23				
Q11576787	田所嘉徳	自民	現職	8	茨城県 1区	男性	1954-01-19				
Q6381615	田中和徳	自民	現職	14	神奈川県 10区	男性	1949-01-21				
Q17160872	田中英之	自民	現職	26	京都府 4区	男性	1970-07-11				
Q7385322	田中良生	自民	現職	11	埼玉県 15区	男性	1963-11-11		https://facebook.com/ryosei.tanaka.7		
Q1340817	棚橋泰文	自民	現職	21	岐阜県 2区	男性	1963-02-11				
Q463331	谷垣禎一	自民	現職	26	京都府 5区	男性	1945-03-07	tanigaki_s			
Q20041303	谷川とむ	自民	現職		近畿ブロック	男性	1976-04-27				
Q8046971	谷川弥一	自民	現職	42	長崎県 3区	男性	1941-08-12				
Q6426240	谷公一	自民	現職	28	兵庫県 5区	男性	1952-01-28				
Q7677383	谷畑孝	維新	現職	27	大阪府 14区	男性	1947-01-10				
Q11577481	田野瀬太道	自民	現職	29	奈良県 4区	男性	1974-07-04				
Q11577186	田畑毅	自民	現職		東京ブロック	男性	1972-05-02				
Q11577205	田畑裕明	自民	現職	16	富山県 1区	男性	1973-01-02				
Q11572647	玉木雄一郎	民進	現職	37	香川県 2区	男性	1969-05-01				
Q11572466	玉城デニー	自由	現職	47	沖縄県 3区	男性	1959-10-13	tamakidenny			
Q18817798	田村貴昭	共産	現職		九州ブロック	男性	1961-04-30				
Q1656878	田村憲久	自民	現職	24	三重県 4区	男性	1964-12-15				
	津島淳	自民	現職	2	青森県 1区						
Q11638274	辻清人	自民	現職	13	東京都 2区	男性	1979-09-07		https://facebook.com/kiyototsujitokyo2nd		
Q405533	辻元清美	民進	現職	27	大阪府 10区	女性	1960-04-28	tsujimotokiyomi	https://facebook.com/100005838250019		
Q11423241	土屋品子	自民	現職	11	埼玉県 13区	女性	1952-01-01				
Q6782686	土屋正忠	自民	現職	13	東京都 18区	男性	1942-01-13				
Q20041482	角田秀穂	公明	現職		南関東ブロック	男性	1961-03-25				
Q6383911	津村啓介	民進	現職		中国ブロック	男性	1971-01-01	Tsumura_Keisuke			
Q6746585	寺田学	民進	現職		東北ブロック	男性	1971-01-01				
Q6869306	寺田稔	自民	現職	34	広島県 5区	男性	1958-01-24	terada124	https://facebook.com/TeradaMinoru.page		
Q1724004	照屋寛徳	社民	現職	47	沖縄県 2区	男性	1945-07-24				
Q6418998	遠山清彦	公明	現職		九州ブロック	男性	1969-06-05	kiyohiko_toyama	https://facebook.com/toyama.kiyohiko1		
Q1133136	渡海紀三朗	自民	現職	28	兵庫県 10区	男性	1948-02-11				
	とかしきなおみ	自民	現職	27	大阪府 7区						
Q11395120	冨樫博之	自民	現職	5	秋田県 1区	男性	1955-04-27				
Q7850337	冨岡勉	自民	現職	42	長崎県 1区	男性	1948-07-04				
Q7496423	富田茂之	公明	現職		南関東ブロック	男性	1953-10-01				
Q11634137	豊田真由子	無所属	現職	11	埼玉県 4区	女性	1974-10-10				
Q7862709	土井亨	自民	現職	4	宮城県 1区	男性	1958-08-12				
Q11364762	中川俊直	無所属	現職	34	広島県 4区	男性	1970-04-25				
Q1906668	中川正春	民進	現職	24	三重県 2区	男性	1950-06-10				
	中川康洋	公明	現職		東海ブロック						
Q1655755	中川郁子	自民	現職	1	北海道 11区	女性	1958-12-22				
